-0.042	-0.072	0.029	0.045	-0.094	-0.01	0.048	-0.093	0.012	-0.076	-0.053	0.017	0.039	0.03	0.025	-0.002	0.012	-0.058	0.008	-0.117
-0.072	-1	-0.021	-0.013	-0.078	-0.075	-0.126	0.009	-0.035	-0.054	0.036	-0.106	-0.054	-0.074	-0.01	-0.059	-0.046	-0.004	0.108	-0.113
0.029	-0.021	0.021	0.05	-0.023	0.022	-0.027	0.017	-0.049	0.006	0.015	0.008	0.084	0.067	-0.051	0.023	-0.016	0.024	-0.018	0.023
0.045	-0.013	0.05	0.037	0.024	0.033	0.015	0.033	-0.063	0.029	0.064	0.005	0.036	0.003	-0.079	0.02	0.039	0.003	-0.027	0.033
-0.094	-0.078	-0.023	0.024	-0.284	0.009	-0.09	-0.149	-0.021	-0.217	-0.135	0.018	0.008	0.019	-0.01	-0.056	0.003	-0.178	-0.179	-0.222
-0.01	-0.075	0.022	0.033	0.009	-0.005	0.028	-0.016	-0.004	-0.014	-0.013	-0.008	0.057	0.028	0.021	0.018	0.015	-0.01	0.043	-0.048
0.048	-0.126	-0.027	0.015	-0.09	0.028	0.05	-0.018	0.073	-0.022	-0.019	0.046	0.009	0.067	0.052	0.021	0	0.007	-0.192	-0.081
-0.093	0.009	0.017	0.033	-0.149	-0.016	-0.018	-0.17	0	-0.228	-0.091	-0.002	0.003	-0.005	0.005	-0.004	0.016	-0.165	-0.096	-0.133
0.012	-0.035	-0.049	-0.063	-0.021	-0.004	0.073	0	0.031	0.012	0.041	0.028	0.013	0.011	0.059	0.005	-0.028	0.005	0.001	-0.03
-0.076	-0.054	0.006	0.029	-0.217	-0.014	-0.022	-0.228	0.012	-0.161	-0.073	0.025	0.046	-0.015	-0.015	-0.01	0.018	-0.137	-0.21	-0.124
-0.053	0.036	0.015	0.064	-0.135	-0.013	-0.019	-0.091	0.041	-0.073	-0.164	0.005	0.019	0.048	0.053	0.035	0.016	-0.065	-0.174	-0.246
0.017	-0.106	0.008	0.005	0.018	-0.008	0.046	-0.002	0.028	0.025	0.005	0.015	0.029	0.032	0.027	0.007	0.012	0.023	-0.019	0.023
0.039	-0.054	0.084	0.036	0.008	0.057	0.009	0.003	0.013	0.046	0.019	0.029	-0.011	0.075	0.027	0.028	0.042	0.01	-0.052	-0.053
0.03	-0.074	0.067	0.003	0.019	0.028	0.067	-0.005	0.011	-0.015	0.048	0.032	0.075	-0.039	0.023	0.021	-0.002	-0.048	-0.019	0
0.025	-0.01	-0.051	-0.079	-0.01	0.021	0.052	0.005	0.059	-0.015	0.053	0.027	0.027	0.023	0.005	0.024	0.025	0.002	-0.149	0.009
-0.002	-0.059	0.023	0.02	-0.056	0.018	0.021	-0.004	0.005	-0.01	0.035	0.007	0.028	0.021	0.024	-0.012	-0.002	0.003	-0.077	-0.021
0.012	-0.046	-0.016	0.039	0.003	0.015	0	0.016	-0.028	0.018	0.016	0.012	0.042	-0.002	0.025	-0.002	-0.024	0.029	-0.016	-0.009
-0.058	-0.004	0.024	0.003	-0.178	-0.01	0.007	-0.165	0.005	-0.137	-0.065	0.023	0.01	-0.048	0.002	0.003	0.029	-0.122	-0.054	-0.091
0.008	0.108	-0.018	-0.027	-0.179	0.043	-0.192	-0.096	0.001	-0.21	-0.174	-0.019	-0.052	-0.019	-0.149	-0.077	-0.016	-0.054	-0.044	-0.313
-0.117	-0.113	0.023	0.033	-0.222	-0.048	-0.081	-0.133	-0.03	-0.124	-0.246	0.023	-0.053	0	0.009	-0.021	-0.009	-0.091	-0.313	-0.068

